Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Software Engineer,$55K-$113K (Glassdoor Est.),"Alteryx is searching for a S oftware Engineer in our Broomfield (Denver), CO office.

About Us:

Alteryx, Inc. is the leader in self-service data analytics. Alteryx Analytics provides analysts the unique ability to easily prep, blend, and analyze all their data using a repeatable workflow, then deploy and share analytics at scale for deeper insights in hours, not weeks. Analysts love the Alteryx Analytics platform because they can connect to and cleanse data from data warehouses, cloud applications, spreadsheets, and other sources, easily join this data together, then perform analytics – predictive, statistical, and spatial – using the same intuitive user interface, without writing any code. Thousands of companies and data analysts worldwide rely on Alteryx daily.

Overview:

We are looking for a Software Engineer to help us build the next version of our core data processing Engine to scale in the cloud.

This is a greenfield project where you’ll be a core contributor from the ground up. We’re looking for engineers that are motivated self-starters that can work a feature from start to finish. The tech stack for this project is Go, GRPC, C++, Docker and Kubernetes.

The right fit is a strong team player that has a proven track record of delivering alongside other engineers. You should be highly motivated to learn new tools and technologies.

Responsibilities

Core engineering contributor to the project.
Participate in an agile engineering environment.
Participate in code reviews, ensuring our delivery of clean, well-tested, and performant software.
Have a quality first mindset – building quality into the product from the start.

Required Qualifications

2+ years of experience in an engineering position
Knowledge of and experience with object oriented and functional design patterns.
Strong skills in critical thinking, decision making, problem solving, and attention to detail.
Experience using Git and Git-based pipelines.

Preferred Qualifications

Experience with compiled language (Go, C++, Java)
Exposure & knowledge of Node.JS and RESTful API web services.
Docker, Kubernetes, deploying applications at scale.
Experience working on high-performance distributed systems.
Knowledge of concurrency and messaging in a high-performance distributed architecture
Knowledge of systems design and development preferably leveraging open source and open standards.
Understanding and commitment to modern software engineering principles/processes (Agile, Lean, DevOps) and continuous improvement through measurement

Interested? Learn more and apply today at alteryx.com/careers !

Alteryx is an equal opportunity employer. Please let your recruiter or coordinator know if you need an accommodation during the interview.

Alteryx will not provide sponsorship for work visas or other employment authorization for this position.

#LI-CP1",3.6,"Alteryx, Inc.
3.6","Broomfield, CO",-1,1001 to 5000 Employees,1997,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),-1
Software Engineer,-1,"At SoftWear Automation, we are working to fundamentally change the way people make and buy textiles in a way that hasn’t happened since the industrial revolution. Leveraging our founder’s key insight in computer vision, we are combining robotics, computer vision, and some clever and custom software to automate textile and clothing manufacturing.

We are looking for software engineers to build out our design-to-product CAD software pipeline as well as help us write robot control code. You must absolutely be able to handle a variety of languages and problems and move quickly. For our current problems, C++ or Python and strong math skills are required. Background in modern web technologies is strongly preferred.

You must be an engineer with experience on a tangible product, not just websites.

Duties and Responsibilities:
Work on design-to-product pipeline
Develop low-level robot control code
Design and develop systems-level software/firmware
Technical Skills:
Good C and C++ programming skills
Strong algorithm and math skills required
ROS experience
QT experience a plus
Feedback/control and signal processing skills a plus
Image processing experience a plus
Linux background a plus
Microcontroller/real-time experience a plus
Education and Experience:

Due to overwhelming growth we have multiple openings at both a mid level as well as at a senior level; our entry-level team is well staffed.

Minimum experience:
BS in Computer Science or Electrical Engineering with embedded experience plus 3+ years of relevant experience, (or)
Master’s degree in Electrical Engineering or Computer Science plus 2 years of relevant experience.
This is a $100B industry, and we are growing rapidly and hungry for new talent. If you’re a kick-ass problem solver looking for a new challenge working with a top notch team, send your resume.",4.8,"SoftWear Automation
4.8","Austell, GA",-1,51 to 200 Employees,2015,Company - Private,Industrial Manufacturing,Manufacturing,Less than $1 million (USD),-1
Senior Software Engineer,$47K-$101K (Glassdoor Est.),"Minimum Qualifications

Bachelor’s degree in computer science, information technology, or a related field or equivalent experience

Preferred Qualifications

3 years of experience in programming in Angular, Cocoa, Objective C, C#, HTML, .NET, PHP, Java, Progress or other programming languages
3 years of experience in software testing and design
3 years of experience in database management as it relates to software development
Proficiency in the Microsoft Office suite

Job Summary

The Senior Software Engineer uses various programming languages to develop, improve, test and/or maintain software that meets user needs. They mentor other software engineers, lead small development teams and act as an application owner. The Senior Software Engineer takes a lead role in design and code reviews, assists with delivery estimates and provides feedback about all aspects of the process.

Responsibilities

Design, develop or modify software and/or software systems by using various programming languages depending on the product and also taking the service architecture into consideration
Modify existing software to fix errors, improve the overall quality and functionality, or update integrations with other software
Analyze user needs to determine how software should be built or if existing software should be modified
Develop and/or perform software automated testing procedures, solutions and frameworks to ensure software functions as needed
Translate business requirements and specifications into usable and scalable software
Process and understand capabilities and limitations of data outputs from the software
Understand and assist with the technical infrastructure of an application or system
Troubleshoot performance issues
Lead design and code reviews
Lead delivery estimates
Determine and execute the software deployment process
Anticipate and communicate blockers, delays and cost ballooning within the team’s projects before they require escalation
Ensure expectations with the team and external stakeholders are clarified between all parties involved
Mentor other software engineers
Look for security vulnerabilities in coding
Participate in discussions about the team’s future vision and strategy

Who We Are

We're America's largest mortgage lender, closing loans in all 50 states. J.D. Power ranked Quicken Loans ""Highest in Customer Satisfaction in Primary Mortgage Origination"" for the past 10 consecutive years, 2010 - 2019. The company was also ranked highest in the nation for client satisfaction among mortgage servicers by J.D. Power for 6 consecutive years, 2014 through 2019, each year the company was eligible. There's a simple reason we've been so successful: We care about the people we work with.

If you're tired of stuffy, bureaucratic workplaces, then you'll be delighted to find something different here. We strive to make a creative, fun and collaborative environment you simply won't find anywhere else. Quicken Loans was named #1 in ESSENCE Magazine's first ever list of ""Best Places to Work for African Americans"" in 2015. We've been on Computerworld's ""Best Places to Work in IT"" list for 13 years running, hitting #1 the last 5 years. We were also ranked #14 in FORTUNE Magazine's list of ""100 Best Companies to Work For"" in 2018, remaining in the top 30 for the past 15 years.

Disclaimer

This is an outline of the primary responsibilities of this position. As with everything in life, things change. The tasks and responsibilities can be changed, added to, removed, amended, deleted and modified at any time by the leadership group.",3.9,"Quicken Loans
3.9","Detroit, MI",-1,10000+ Employees,1985,Company - Private,Lending,Finance,$10+ billion (USD),-1
Principal Software Engineer,$70K-$142K (Glassdoor Est.),"Secure our Nation, Ignite your Future

Become an integral part of a diverse team while working at an Industry Leading Organization, where our employees come first. At ManTech International Corporation, you’ll help protect our national security while working on innovative projects that offer opportunities for advancement.
Currently, ManTech is seeking a motivated, career and customer-oriented CNO Developer to join our team in the Hanover , MD .
Responsibility include, but are not limited too:
Expert knowledge of multiple programming languages such as C/C++, assembly (e.g. x86, ARM, MIPS), Python, or PERL.
Familiar with multiple software development methodologies (e.g. Scrum, TDD, Waterfall).
Expert level knowledge of security concepts, networks, device drivers, & system internals are applied in daily tasks.
Expert knowledge in at least one technology area (e.g. Windows, Unix, Mobile, Network devices).
Communicates status with leadership and customers. Contributes to the completion of milestones associated with specific projects.
Provides solutions to a variety of complex technical problems.
Determines computer user needs; analyzes system capabilities to resolve problems on program intent, output requirements, input data acquisition, programming.
Ensures software standards are met. Leads the design, development, documenting, testing and debugging of applications software and systems that contain logical and mathematical solutions.
Able to lead a project developing hardware or software based CNO capabilities providing direction to other CNO developers.
Plans and conducts assignments, generally involving the larger and more important projects or more than one project.

Required:

Seven to nine years of relevant work experience.
Proficient C programming skills
Software Analysis/Reverse Engineering experience
Embedded systems development experience
Understand assembly programming concepts
Bachelors Degree

Clearance Required:

TS/SCI with Polygraph

Desired:

Experience working with networking (TCP/IP)
Python experience
Unit Test experience
Experience using Jenkins Continuous Integration Server

ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.

If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.

If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.",4.2,"ManTech International Corporation
4.2","Hanover, MD",-1,5001 to 10000 Employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),-1
Senior Software Engineer,-1,"Overview:

Who is Virgin Pulse?

Virgin Pulse, founded as part of Sir Richard Branson’s famed Virgin Group, helps organizations build employee health and wellbeing into the DNA of their corporate cultures. As the only company to deliver a powerful, mobile-first digital platform infused with live services, including coaching and biometric screenings, Virgin Pulse’s takes a high-tech-meets-high-touch-approach to engage employees in improving across all aspects of their health and wellbeing, every day – from prevention and building a healthy lifestyle to condition and disease management to condition reversal, all while engaging users daily in building and sustaining healthy habits and behaviors. A global leader in health and wellbeing, Virgin Pulse is committed to helping change lives and businesses around the world for good so that people and organizations can thrive, together. Today, more than 3100 organizations across the globe are using Virgin Pulse’s solutions to improve health, employee wellbeing and engagement, reduce costs and create strong workplace cultures.

Who are our employees?

At Virgin Pulse we’re passionate about changing lives for good. We want to make a difference in the world by helping people be healthy so they can perform at their best, every day, at work and home. Our award-winning solutions support leading employers in improving and simplifying the employee health and wellbeing journey and engaging people in all aspects of their health. But our world-class products and programs are nothing without our people – the employees who design, build, promote, sell, test and perfect the latest innovations in workplace health and wellbeing. Our people are our top priority and we invest in their health and happiness. At Virgin Pulse, we have so much more than a strong, supportive company culture – have a shared vision for a healthier, happier world.

Responsibilities:

Who you are.

As a Senior Software Engineer at Virgin Pulse you will be working on a Digital Health SaaS platform that supports millions of engaged, active members in 20 languages across 190 countries, serving over 50 billion+ API calls every year to mobile and desktop users. As a Senior Software Engineer at Virgin Pulse you will be working with a passionate and strong team of engineers, product managers and UX Designers. With your strong background in cloud technologies and software architecture you will have the opportunity to develop, manage and optimize our tech stack and production pipelines. This work might include projects like building out new customer facing features, creating the APIs for new capabilities, data integration from our customers or partners, developing new strategies for managing our product stack or optimizing existing code to make it more performant. We are looking for someone with an appetite for growth and we offer the opportunity to learn directly from our highly skilled group of engineers.

You offer strength in production-ready code in Java, .Net or Kotlin using strong analytical skills. We value the desire and ability to learn quickly but familiarity with Angular and the AWS ecosystem would be a plus. Excellent problem-solving abilities, strong communication skills, and the desire and ability to self-start and time-manage in a fast-paced environment will set you up for success in our team.

What your typical day looks like.

Delivering production ready code in Java and Kotlin
Design, develop and deploy backend services with focus on high availability, low latency and scalability
Monitor, test, and continuously optimize your designs
Provide technical leadership and coaching to the more junior team members to enable them to build better software.
Master our development process, culture and code base, then think of ways to improve it and implement within our team.
Take operational responsibility for the services that are owned by your team, potentially including taking part in off hour calls with systems support team
Qualifications:

What you bring to the team.

In order to represent the best of what we have to offer you come to us with a multitude of positive attributes including:

Fluency in Java and/or .Net
4 or more years of experience developing services and APIs
A solid understanding of best practices for software development including testing, monitoring, and design
Desire to go beyond the functional solution to build maintainable and well tested code
A desire to partner closely with product managers to refine the product
Ability to articulate and champion design strategies related to scalability, maintainability, performance, security and usability.

What makes you stand out.

Experience with highly scalable systems in an AWS ecosystem
Experience with some of the tools in our tech stack, particularly Spring Boot, Cassandra, PostgreSQL and/or Elasticsearch
Experience with Continuous Integration and Continuous Delivery technologies like Maven, TeamCity, Ansible, Harness, Terraform, or similar.

Security Competencies:

Work to maintain system and data security at a high standard, ensuring the confidentiality, integrity and availability of the Virgin Pulse application is not compromised. Adhere to industry best practice coding standards and verify all code developed at Virgin Pulse is free from bugs and security vulnerabilities (OWASP/CWE).

Why work here?

We believe a career should provide competitive pay and benefits, a collaborative and supportive work environment, strong employee culture and cutting-edge technology and services — so many reasons to love it here.
We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to any protected class status.",-1,VirginPulse,"Minneapolis, MN",-1,-1,-1,-1,-1,-1,-1,-1
Professional Services Engineer,$37K-$72K (Glassdoor Est.),"Job Summary
The Professional Services Engineer will support our customer and channel partners for DocuWare Corporation in the planning and implementation of DocuWare’s document management products. This role will perform software implementations, business process analysis, and needs assessments.
Your tasks
Perform complex assessments of customer and/or partner needs.
Create detailed documentation for implementations, guides, and training.
Installation and configuration of DocuWare product lines.
Support sales, partners and team members in quoting project requirements and respond to service requests.
Provide pre and post-sale support to customers and internal teams.
Plan and manage multiple projects simultaneously.
Deliver projects on time and with required documentation.
Assist the end user community as the key subject matter expert relating to DocuWare’s product suite.
Experience with Accounts payable processes a plus
Your background
Education / Experience
Bachelor’s Degree in Computer Science or MIS.
OR certification in an Information Technology discipline from an accredited Technology Institute.
OR 4+ years in a related software implementation or support role.
Personal / Communication
Excellent oral and written communication skills are a must.
High level of teaching skills: Ability to transfer knowledge through practical demonstration in a group session.
Demonstrate a high level of customer service professionalism.
High level of motivation working in a team environment.
Willingness and ability to travel up to 25% of the time.
This role requires excellent communication skills. You must be able to interact professionally and communicate effectively.
Technical
Competency with Microsoft Windows operating systems at an administration level.
Experience with databases such as MSSQL, MySQL and Oracle.
Familiar with networking protocols such as TCP/IP and HTTP.
Knowledge of VB Scripting a plus.
Ability to analyze log files as a result of product testing.
Project Management skills
Your benefits
Competitive salary; commensurate with experience
Medical, Dental, 401K, Profit Sharing, Paid Time Off, International Collaboration, Growth opportunities, Company outings, biweekly lunches, and more.
After qualifying period, bonus scheme designed to boost salary
Your hiring partner
Vanessa Quiroga
Manager Recruitment & Talent Development
Here you can find us
4 Crotty Lane, Suite 200 | New Windsor, NY 12553
Apply for this position
About us
We provide digital document management and automated workflows to organizations of any size and across all major industries. We are on a mission to simplify work in a world of complex information by empowering organizations to digitize and automate processes. Our company culture is shaped by four core values. We are: Customer Centric, Passionate, Dynamic, & Decent",3.6,"Docuware Corporation
3.6","New Windsor, NY",-1,51 to 200 Employees,1988,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),-1
Full-Stack Software Engineer (Integrations/API),-1,"Articulate is looking for a Full-Stack Software Engineer. We’re makers. We believe the job of a development team is more than just writing code. We are here to create experiences which delight our customers—that is always our top priority.

We’re a fully distributed company with a high degree of autonomy and no office space. At Articulate, you’ll work closely with an awesome team of developers and designers to build industry-leading products and solve interesting problems.

The ideal person for this job is a multitalented Full-Stack Software Engineer with a good eye. This person sweats the details, focuses on quality results instead of effort, and sees problems as opportunities to learn and level up as a team. Solid GIF skills and emojis game are big bonuses. While we’re looking for a full-stack engineer, this particular position will have more of a backend focus.

Here’s a smattering of the tech you’ll be working with: Node.js, React, JavaScript/TypeScript, (S)CSS, AWS, GitHub, and Slack. Functional programming experience or experience integrating large 3rd party platforms a plus.
About Articulate

Articulate is a highly successful, fully remote software company that’s changing the way the world learns. Our award-winning e-learning tools are used by 98,000+ organizations across the globe to create engaging online and mobile courses. Our customers include 93 of the Fortune 100 and 19 of the top 20 U.S. universities. And our online community of 865,000+ members is the largest, fastest-growing community in the industry.
We empower employees to thrive by fostering a culture of autonomy, productivity, and respect. We’re all free to exercise our crafts the best way we know how to reach our goals as individuals and teams. Each and every one of us is focused on producing results that directly impact the company’s success. And we all strive to do what’s right by people, both internally and externally, instead of taking the shortest route to the highest profits.
We honor people’s humanity in all of our disparate experiences and social locations, accepting each person as an individual with a story worth listening to and honoring. We believe that honoring everyone’s humanity means being committed to equity and justice. We welcome different voices and viewpoints and do not discriminate on the basis of race, religion, color, national origin, ancestry, physical and/or mental disability, medical condition, genetic information, marital status, sex, gender, gender identity, gender expression, transgender status, age, sexual orientation, and military or veteran status, or any other basis protected by law. We are an equal opportunity employer and invite applicants to voluntarily disclose their race and gender on our application form to help us create a diverse company. This voluntarily disclosed information will not be shared with any hiring manager and will be kept in confidence by the Articulate human resources department and executives who are not hiring for this position.

Learn more about our culture.",4.2,"Articulate inc.
4.2",United States,-1,51 to 200 Employees,2002,Company - Private,Internet,Information Technology,$50 to $100 million (USD),-1
Senior Software Engineer,$56K-$117K (Glassdoor Est.),"Are you looking for a high energy, strategic, and fast-paced position as a Senior Software Engineer? Join Relias, the company changing lives throughout the world by helping healthcare organizations improve their clinical outcomes!

Relias provides software and services to more than 10,000 healthcare organizations and providers, addressing the primary concerns of recruiting, retention, risk mitigation, compliance, and the move from fee for service to value-based reimbursements. In addition to unrivaled content, Relias offers pre-hire assessments and in-depth analytics that allows for the demonstration of skill and performance, resulting in better patient, resident and client outcomes, as well as better financial results. We are passionate about our product and our clients; what we deliver is truly something you can be proud to represent. Our clients think so, too – we proudly boast a retention rate close to 100%!

WHAT CAN RELIAS OFFER YOU?

Competitive base salary
Fantastic health and wellness benefits package, including an outstanding 401k match, an unlimited PTO program, and paid holidays, including your birthday!
Comprehensive two-week onboarding program – a great introduction to our company, customers and culture!
Growth and career advancement opportunities!
Integrated 15 acquisitions over the last five years
20%+ annual employee promotion and transfer rate

WHAT YOU’LL BE DOING:

Full-stack software development on Relias' learning platform
Working closely with other developers, QA, and product owners on a highly functional agile team
Leading and mentoring a team of junior and mid-level developers and test engineers
Ensuring system health and fixing defects
Solving difficult problems through research and innovation
Contributing to the department's wiki knowledge base

WHO YOU’VE GOT TO BE:

Eager to building things and to ship software
Hungry to learn (and teach) new technologies and frameworks
Passionate about quality and seeing things to completion
Experienced leading code reviews and coaching others
A positive, fun team member

YOU’VE GOT WHAT IT TAKES IF YOU HAVE:

A Bachelor’s degree, or equivalent experience
5+ years of .NET Core, C#
3+ year of a modern JavaScript framework (Angular, React, Knockout, etc.)
3+ years of SQL Server
Experience with ASP.NET Web Forms
Experience with Agile methodology
Experience with Microsoft Azure
Experience releasing software / knowledge of the SDLC process
Passion for setting standards of system design and service-oriented architecture
Ability to influence and lead team
Desire to mentor associate and mid-level software engineers
Strong communication and interpersonal skills

IT WOULD BE NICE IF YOU HAVE:

Redis, Service Bus, Web API, WCF, ASP.Net MVC
Familiarity with privacy and security best practices
Passion for learning - remaining current on new technologies
Desire for continuous improvement - determining process improvements, best practices, and develop new processes.
Experience working in close partnership with cross-functional teams and management.

INDHP

Relias is an Equal Opportunity Employer and a Drug-Free workplace

Company: Relias LLC

Country: United States of America

State/Region: North Carolina

City: Morrisville

Postal Code: 27560

Job ID: 98802

[[customQuickApply]]98802Relias LLC",2.6,"Relias
2.6","Morrisville, NC",-1,501 to 1000 Employees,2012,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),-1
Senior Software Engineer,-1,"Senior Software Engineer*
Are you obsessed with software and robotics? Looking to work with an awesome team in a modern, successful software company? Geisel Software, based in Worcester, Massachusetts, is a premier software developer that is working with and creating today's hottest software technologies. We are looking for a motivated individual to join our team, learn new technology, and help us build some great software!

Geisel Software develops web, mobile and embedded software, with a focus on robotics, medical devices, and machine learning. We seek a talented individual who is not afraid to work hard, learn something new and get lots of stuff done. We have a helpful staff, but it is also important that you can work independently and solve problems with little outside direction. Your problem-solving skills will be put to the test, whether that means tracking down the answer on Google, or building your own new solution.
Here's what we work with regularly*
Robotic Simulation with ROS, RVIZ, and Unreal Engine
Embedded Development in C/C++ (Arm or x86)
TensorFlow and OpenCV
LAMP - Linux, Apache, MySQL and PHP
iPhone/Android application development
Web Frontend (AngularJS, JavaScript, jQuery, Bootstrap, etc.)
Scripting Languages (Python, BASH, or other)
Web Technologies - HTML5, CSS3, XML, JSON
Linux - As a user at least, but also administration and kernel development
Web Frameworks - Django, Codeigniter
Agile and Waterfall design methodologies
Embedded platforms (Raspberry Pi, BeagleBone, OMAP, etc.)
Here’s what we require*
You're passionate about software development -- it's what you do even in your free time.
10+ years of experience with (C++) and (Python, or other modern scripting languages).
Must be a US Person.
Good software foundational skills: clean, well-documented code; collaborative style; solid algorithms understanding; CS theory; mastery of more than one language.
An aptitude for learning new platforms and technologies on the fly. We’re constantly working on new projects that will push you and keep you always learning new technologies.
Able to take ownership of a project and independently architect, execute and troubleshoot it through completion and customer delivery.
Actively pursuing new knowledge and technologies. If you’re a web frontend guru, are you building your backend skills? If you’re an embedded developer, are you developing apps for Android or iOS?
Already comfortable on Linux. You can be a Windows/Mac pro, but you'll be doing at least 50% of your development on Linux. You should be comfortable with that.
Willing to commute to Worcester, MA (Note: Ability to temporarily work remotely during this trying time of COVID-19).
Looking for full-time employment.
What you’ll get*
An opportunity to work with the latest technologies across a variety of platforms.
A fun, exciting work environment focused on the results, not the politics.
An experienced team and mentor who can help you grow in your craft and career.
A position with a growing company, offering competitive benefits and salary.
Apply now*
E-mail us at *jobs*@*geisel.software* and *include your resume and a brief cover letter* explaining why you think you'd be a great fit at Geisel Software. We'd love to hear about what you've done with technologies we're using, or other projects you've worked on. What do you think you’re really good at and why? What have you done outside your current job to improve your craft? Why do you think you’d be a great fit?

Job Type: Full-time

Schedule:
Monday to Friday
Work authorization:
United States (Required)
Application Question:
Will you now, or in the future, require sponsorship for employment visa status (e.g. H-1B visa status)?
Work Location:
One location
Work Remotely:
Temporarily due to COVID-19",5.0,"Geisel Software
5.0","Worcester, MA",-1,1 to 50 Employees,-1,Unknown,-1,-1,Less than $1 million (USD),-1
Software Engineer,-1,"CLARK Material Handling Company, a global leader in the forklift and material handling industry is growing. We are adding a Software Engineer to our team.

To be considered for this position, you must apply on our Company Website at: https://clarkmhc.com/Company/Employment

Summary/Objective

The software engineer develops specifications for moderately complex software programming applications and modifies/maintains the existing software. This role develops, modifies and maintains applications that may be customized or standardized. This position participates in design and coding activities with other staff members.
Competencies*
Problem Solving/Analysis.
Technical Capacity.
Communication Proficiency.
Time Management.
Essential Functions: *
This Position will serve as the company Administrator for Salesforce (Service Cloud, Sales Cloud, Communities, CPQ)
Designs/codes applications following specifications using the appropriate tools.
Maintains and modifies existing applications without supervision as well as under direction from senior staff members.
Performs maintenance programming for existing versions of Applications.
Understanding of SDLC and proper testing processes
Assumes responsibility for ongoing data architecture for product.
Required Education and Experience*
Bachelor’s of science in computer science or equivalent on-the-job experience.
Minimum three years of experience as database developer (NOT administrator) working with currently used technological products.
Minimum of two years with currently used shell scripting technologies.
2 Years Minimum experience working with Salesforce (Service Cloud, Sales Cloud, Communities, CPQ)
Preferred Education & Experience & Certifications: *
Salesforce Certified Admin
ENVIRONMENTAL / PHYSICAL CONDITIONS: *
The incumbent is located in an office environment with regulated heating and cooling.Some work is performed using a computer and monitor, as well as basic office equipment.The incumbent may be exposed to any of a wide range of conditions if required to travel outside the office.This would include visiting a manufacturing location, the engineering test lab, a customer site, etc.
Physical Demands*
The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job.

While performing the duties of this job, the employee is regularly required to talk or hear. The employee frequently is required to stand; walk; use hands to finger, handle or feel; and reach with hands and arms.
Position Type/Expected Hours of Work*
This is a full-time position. Days and hours of work are Monday through Friday, 8:00 a.m. to 5:00 p.m.
Travel*
Travel is primarily local during the business day.

CLARK Material Handling Company an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class.

_This position description is not intended and should not be construed to be an exhaustive list of all responsibilities, skills, efforts, or working conditions associated with the job; it is intended to be an accurate reflection of those principal job elements essential to the job. Incumbents may be required to perform other duties as assigned or as required by the needs of the business._

_CLARK Material Handling Company retains the discretion to add to or change the duties of the position at any time._

Job Type: Full-time

Benefits:
401(k)
401(k) matching
Dental insurance
Disability insurance
Employee assistance program
Employee discount
Flexible spending account
Health insurance
Life insurance
Paid time off
Professional development assistance
Referral program
Retirement plan
Tuition reimbursement
Vision insurance
Schedule:
8 hour shift
Monday to Friday
Experience:
Salesforce: 2 years (Required)
Education:
Bachelor's (Preferred)
Work authorization:
United States (Required)
Work Location:
One location
Relocation Assistance Provided:
No
Company's website:
https://clarkmhc.com/Company/Employment
Company's Facebook page:
https://www.facebook.com/CLARKMHCNA
Work Remotely:
No",3.1,"CLARK Material Handling Company
3.1","Lexington-Fayette, KY",-1,201 to 500 Employees,1917,Company - Private,Transportation Equipment Manufacturing,Manufacturing,$25 to $50 million (USD),-1
